,reg,eta,iterations,C,solver,train_accuracy,test_accuracy,run_time
290,1,0.0001,50,1,BFGS,0.449466453,0.451566335,11.29315114
291,1,0.0001,50,1,SA,0.478279177,0.476829796,9.803088665
292,1,0.0001,50,0.1,BFGS,0.479097241,0.477695972,26.69963074
293,1,0.0001,50,0.1,SA,0.478279177,0.476829796,9.300877333
294,1,0.0001,50,0.01,BFGS,0.748312741,0.754342909,28.10398746
295,1,0.0001,50,0.01,SA,0.478279177,0.476829796,9.490796804
296,1,0.0001,50,0.001,BFGS,0.779314991,0.783792888,34.49800968
297,1,0.0001,50,0.001,SA,0.478279177,0.476829796,9.400892258
298,1,0.0001,50,0.0001,BFGS,0.779808236,0.785092151,21.80127859
299,1,0.0001,50,0.0001,SA,0.478279177,0.476829796,9.188885212
300,2,1,10,1,BFGS,0.624087196,0.623309754,23.00111699
301,2,1,10,1,SA,0.449466453,0.451566335,2.303822279
302,2,1,10,0.1,BFGS,0.709057662,0.711948414,8.908038616
303,2,1,10,0.1,SA,0.449466453,0.451566335,2.492486715
304,2,1,10,0.01,BFGS,0.696822781,0.707040085,8.299584866
305,2,1,10,0.01,SA,0.542352899,0.543380973,2.300212383
306,2,1,10,0.001,BFGS,0.69746039,0.709301766,8.502397537
307,2,1,10,0.001,SA,0.148647185,0.149944661,2.194622755
308,2,1,10,0.0001,BFGS,0.697219783,0.709446129,8.599761248
309,2,1,10,0.0001,SA,0.549847816,0.551128435,2.389023066
310,2,1,20,1,BFGS,0.624087196,0.623309754,23.10380435
311,2,1,20,1,SA,0.449466453,0.451566335,4.0957551
312,2,1,20,0.1,BFGS,0.697424299,0.697704634,27.80490756
313,2,1,20,0.1,SA,0.449466453,0.451566335,4.106278181
314,2,1,20,0.01,BFGS,0.763025877,0.767576151,11.30566263
315,2,1,20,0.01,SA,0.48695307,0.484481016,4.290446758
316,2,1,20,0.001,BFGS,0.755470808,0.760839228,11.89163446
317,2,1,20,0.001,SA,0.450898067,0.453298686,4.498188496
318,2,1,20,0.0001,BFGS,0.75288428,0.758625668,11.79835367
319,2,1,20,0.0001,SA,0.451692071,0.454164862,4.39423728
320,2,1,50,1,BFGS,0.624087196,0.623309754,22.69869232
321,2,1,50,1,SA,0.449466453,0.451566335,9.095912457
322,2,1,50,0.1,BFGS,0.697424299,0.697704634,28.30033207
323,2,1,50,0.1,SA,0.478279177,0.476829796,9.698627472
324,2,1,50,0.01,BFGS,0.762713088,0.766469371,26.294065
325,2,1,50,0.01,SA,0.449791273,0.451806939,10.30826092
326,2,1,50,0.001,BFGS,0.778388653,0.784274097,36.79318857
327,2,1,50,0.001,SA,0.526196119,0.529137193,10.60095763
328,2,1,50,0.0001,BFGS,0.779062353,0.784947789,27.60182357
329,2,1,50,0.0001,SA,0.447264897,0.443722631,10.2033174
330,2,0.1,10,1,BFGS,0.624087196,0.623309754,23.89194679
331,2,0.1,10,1,SA,0.449466453,0.451566335,2.396941662
332,2,0.1,10,0.1,BFGS,0.709057662,0.711948414,9.400111437
333,2,0.1,10,0.1,SA,0.449466453,0.451566335,2.598641396
334,2,0.1,10,0.01,BFGS,0.696822781,0.707040085,7.904749632
335,2,0.1,10,0.01,SA,0.449466453,0.451566335,2.388900757
336,2,0.1,10,0.001,BFGS,0.69746039,0.709301766,8.9014709
337,2,0.1,10,0.001,SA,0.449466453,0.451566335,2.501502514
338,2,0.1,10,0.0001,BFGS,0.697219783,0.709446129,9.201564312
339,2,0.1,10,0.0001,SA,0.449466453,0.451566335,2.605198383
340,2,0.1,20,1,BFGS,0.624087196,0.623309754,24.40704346
341,2,0.1,20,1,SA,0.449466453,0.451566335,3.79267025
342,2,0.1,20,0.1,BFGS,0.697424299,0.697704634,30.60090899
343,2,0.1,20,0.1,SA,0.449502544,0.451566335,4.594286442
344,2,0.1,20,0.01,BFGS,0.763025877,0.767576151,12.29602218
345,2,0.1,20,0.01,SA,0.44967097,0.451710697,4.785507202
346,2,0.1,20,0.001,BFGS,0.755470808,0.760839228,11.19820189
347,2,0.1,20,0.001,SA,0.44969503,0.451758818,4.494928598
348,2,0.1,20,0.0001,BFGS,0.75288428,0.758625668,12.906075
349,2,0.1,20,0.0001,SA,0.449719091,0.451758818,4.299149752
350,2,0.1,50,1,BFGS,0.624087196,0.623309754,24.30188417
351,2,0.1,50,1,SA,0.449466453,0.451566335,10.28964901
352,2,0.1,50,0.1,BFGS,0.697424299,0.697704634,28.49809837
353,2,0.1,50,0.1,SA,0.452269528,0.454742313,10.2048583
354,2,0.1,50,0.01,BFGS,0.762713088,0.766469371,27.80300617
355,2,0.1,50,0.01,SA,0.46948498,0.472691401,10.19831204
356,2,0.1,50,0.001,BFGS,0.778388653,0.784274097,36.89994478
357,2,0.1,50,0.001,SA,0.473635456,0.477311005,10.38903761
358,2,0.1,50,0.0001,BFGS,0.779062353,0.784947789,27.29810905
359,2,0.1,50,0.0001,SA,0.474068549,0.477647851,9.904341936
360,2,0.01,10,1,BFGS,0.624087196,0.623309754,23.59216833
361,2,0.01,10,1,SA,0.478279177,0.476829796,2.198055267
362,2,0.01,10,0.1,BFGS,0.709057662,0.711948414,8.808380842
363,2,0.01,10,0.1,SA,0.478279177,0.476829796,2.295406818
364,2,0.01,10,0.01,BFGS,0.696822781,0.707040085,7.698498964
365,2,0.01,10,0.01,SA,0.478279177,0.476829796,2.488493443
366,2,0.01,10,0.001,BFGS,0.69746039,0.709301766,8.497127533
367,2,0.01,10,0.001,SA,0.478279177,0.476829796,2.191073179
368,2,0.01,10,0.0001,BFGS,0.697219783,0.709446129,7.898839951
369,2,0.01,10,0.0001,SA,0.478279177,0.476829796,2.397820234
370,2,0.01,20,1,BFGS,0.624087196,0.623309754,21.89890385
371,2,0.01,20,1,SA,0.479650638,0.478321544,4.188272715
372,2,0.01,20,0.1,BFGS,0.697424299,0.697704634,28.1022079
373,2,0.01,20,0.1,SA,0.481106312,0.479380203,4.199782372
374,2,0.01,20,0.01,BFGS,0.763025877,0.767576151,12.39901686
375,2,0.01,20,0.01,SA,0.481250677,0.479428324,4.005736589
376,2,0.01,20,0.001,BFGS,0.755470808,0.760839228,11.99239969
377,2,0.01,20,0.001,SA,0.481226616,0.479428324,4.496850014
378,2,0.01,20,0.0001,BFGS,0.75288428,0.758625668,12.10652685
379,2,0.01,20,0.0001,SA,0.481226616,0.479428324,4.397207499
380,2,0.01,50,1,BFGS,0.624087196,0.623309754,22.69716597
381,2,0.01,50,1,SA,0.507380629,0.50493239,9.599318266
382,2,0.01,50,0.1,BFGS,0.697424299,0.697704634,26.60260892
383,2,0.01,50,0.1,SA,0.547213166,0.547808094,9.696393967
384,2,0.01,50,0.01,BFGS,0.762713088,0.766469371,26.20541286
385,2,0.01,50,0.01,SA,0.550942579,0.552716424,9.397277832
386,2,0.01,50,0.001,BFGS,0.778388653,0.784274097,35.19751525
387,2,0.01,50,0.001,SA,0.551375672,0.553101391,9.892510891
